date,funding_entity,region,Unnamed: 0,spend_lower,spend_upper,impressions_lower,impressions_upper,potential_reach_lower,potential_reach_upper
2018-06-15,Senate Leadership Fund,Indiana,0,2226.3888888888887,5635.444444444444,74819.44444444444,116567.3888888889,0.0,0.0
2018-06-16,Senate Leadership Fund,Indiana,1,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-17,Senate Leadership Fund,Indiana,2,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-18,Senate Leadership Fund,Indiana,3,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-19,Senate Leadership Fund,Indiana,4,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-20,Senate Leadership Fund,Indiana,5,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-21,Senate Leadership Fund,Indiana,6,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-22,Senate Leadership Fund,Indiana,7,2226.3888888888887,2962.4444444444453,74819.44444444444,89594.3888888889,0.0,0.0
2018-06-23,Senate Leadership Fund,Indiana,8,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-24,Senate Leadership Fund,Indiana,9,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-25,Senate Leadership Fund,Indiana,10,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-26,Senate Leadership Fund,Indiana,11,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-27,Senate Leadership Fund,Indiana,12,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-28,Senate Leadership Fund,Indiana,13,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-29,Senate Leadership Fund,Indiana,14,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-06-30,Senate Leadership Fund,Indiana,15,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-07-01,Senate Leadership Fund,Indiana,16,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-07-02,Senate Leadership Fund,Indiana,17,1338.888888888889,1826.4444444444448,42944.44444444443,50220.888888888905,0.0,0.0
2018-08-10,Senate Leadership Fund,California,18,0.0,19.0532925,0.0,192.2650425,0.0,0.0
2018-08-10,Senate Leadership Fund,Nevada,19,0.0,277.9467075,0.0,2804.7349575000007,0.0,0.0
2018-08-10,Senate Leadership Fund,Tennessee,20,1711.9047619047624,2677.809523809524,197642.8571428572,236494.4761904761,0.0,0.0
2018-08-11,Senate Leadership Fund,California,21,0.905625,194.09233575,537.8752499999998,2494.5497857500004,0.0,0.0
2018-08-11,Senate Leadership Fund,Nevada,22,124.094375,1143.65766425,12712.12475,23993.20021425,0.0,0.0
2018-08-11,Senate Leadership Fund,Tennessee,23,1711.9047619047624,2895.609523809524,198042.8571428572,239092.2761904762,0.0,0.0
