date,funding_entity,region,Unnamed: 0,spend_lower,spend_upper,impressions_lower,impressions_upper,potential_reach_lower,potential_reach_upper
2018-05-26,House Majority PAC,Arizona,103,0.0,0.25434585,1.4174,3.98398085,0.0,0.0
2018-05-26,House Majority PAC,Arkansas,104,0.0,0.005702399999999999,0.4032,0.4607424,0.0,0.0
2018-05-26,House Majority PAC,California,105,0.0,1.7384202000000002,18.6264,36.1686402,0.0,0.0
2018-05-26,House Majority PAC,Colorado,106,0.0,0.4482423,6.1579000000000015,10.6810723,0.0,0.0
2018-05-26,House Majority PAC,Connecticut,107,0.0,0.7831559999999999,11.677783333333334,19.580539333333334,0.0,0.0
2018-05-26,House Majority PAC,Delaware,108,0.0,0.15073245000000002,1.98275,3.50377745,0.0,0.0
2018-05-26,House Majority PAC,District of Columbia,109,0.0,0.07872480000000001,3.9996,4.7940048,0.0,0.0
2018-05-26,House Majority PAC,Florida,110,0.0,7.772958600000001,61.14835000000001,139.58456860000004,0.0,0.0
2018-05-26,House Majority PAC,Georgia,111,0.0,3.3747532500000004,11.496533333333335,45.55086158333334,0.0,0.0
2018-05-26,House Majority PAC,Hawaii,112,0.0,0.026829000000000002,0.5660000000000001,0.8367290000000001,0.0,0.0
2018-05-26,House Majority PAC,Idaho,113,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-26,House Majority PAC,Illinois,114,0.0,0.35599905,4.1902,7.78255405,0.0,0.0
2018-05-26,House Majority PAC,Indiana,115,0.0,0.12589665,1.9762833333333327,3.2466949833333336,0.0,0.0
2018-05-26,House Majority PAC,Iowa,116,0.0,0.04141665,1.4179499999999998,1.83588165,0.0,0.0
2018-05-26,House Majority PAC,Kansas,117,0.0,0.5459305499999999,0.276,5.78493555,0.0,0.0
2018-05-26,House Majority PAC,Kentucky,118,0.0,0.72324945,0.5626,7.86084445,0.0,0.0
2018-05-26,House Majority PAC,Louisiana,119,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-26,House Majority PAC,Maine,120,0.0,0.43664775,3.23775,7.64392275,0.0,0.0
2018-05-26,House Majority PAC,Maryland,121,0.0,1.5598736999999998,2.9349,18.6754437,0.0,0.0
2018-05-26,House Majority PAC,Massachusetts,122,0.0,1.88333475,15.920583333333333,34.92514308333334,0.0,0.0
2018-05-26,House Majority PAC,Michigan,123,0.0,1.70800245,6.7111,23.946397450000006,0.0,0.0
2018-05-26,House Majority PAC,Minnesota,124,0.0,0.35286075,4.1473,7.7079857500000015,0.0,0.0
2018-05-26,House Majority PAC,Mississippi,125,0.0,0.061964099999999994,2.5735,3.1987741000000005,0.0,0.0
2018-05-26,House Majority PAC,Missouri,126,0.0,0.1264527,3.8287999999999993,5.1048227,0.0,0.0
2018-05-26,House Majority PAC,Montana,127,0.0,0.5266899,2.11275,7.4275299000000015,0.0,0.0
2018-05-26,House Majority PAC,Nebraska,128,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-26,House Majority PAC,Nevada,129,0.0,0.1764576,1.9364,3.7170176,0.0,0.0
2018-05-26,House Majority PAC,New Hampshire,130,0.0,0.06775065,2.32475,3.0084156500000003,0.0,0.0
2018-05-26,House Majority PAC,New Jersey,131,0.0,1.28121675,5.613883333333334,18.542525083333327,0.0,0.0
2018-05-26,House Majority PAC,New York,132,0.0,586.1725815000001,4511.015466666667,10426.029698166667,0.0,0.0
2018-05-26,House Majority PAC,North Carolina,133,0.0,5.011815599999999,35.40656666666667,85.98034226666668,0.0,0.0
2018-05-26,House Majority PAC,Ohio,134,0.0,0.9985437,9.45085,19.527063700000006,0.0,0.0
2018-05-26,House Majority PAC,Oklahoma,135,0.0,0.020988,0.212,0.423788,0.0,0.0
2018-05-26,House Majority PAC,Oregon,136,0.0,0.029313900000000007,1.6547,1.9505039,0.0,0.0
2018-05-26,House Majority PAC,Pennsylvania,137,0.0,3.761066100000001,30.64378333333333,68.59635943333333,0.0,0.0
2018-05-26,House Majority PAC,Rhode Island,138,0.0,0.7507368000000001,3.3187,10.894316800000002,0.0,0.0
2018-05-26,House Majority PAC,South Carolina,139,0.0,1.03917165,7.472483333333333,17.958669983333333,0.0,0.0
2018-05-26,House Majority PAC,South Dakota,140,0.0,0.24966315,0.6152,3.13452815,0.0,0.0
2018-05-26,House Majority PAC,Tennessee,141,0.0,1.0161624,9.520533333333333,19.774535733333334,0.0,0.0
2018-05-26,House Majority PAC,Texas,142,0.0,3.03402165,16.804883333333333,47.42091998333334,0.0,0.0
2018-05-26,House Majority PAC,Utah,143,0.0,0.0535194,1.1812,1.7212593999999997,0.0,0.0
2018-05-26,House Majority PAC,Vermont,144,0.0,0.1722435,0.5660000000000001,2.3040935,0.0,0.0
2018-05-26,House Majority PAC,Virginia,145,0.0,2.49091095,15.167833333333334,40.303389283333345,0.0,0.0
2018-05-26,House Majority PAC,Washington,146,0.0,0.4542417,2.61135,7.1950617,0.0,0.0
2018-05-26,House Majority PAC,"Washington, District of Columbia",147,0.0,0.05328675,2.69125,3.22896175,0.0,0.0
2018-05-26,House Majority PAC,West Virginia,148,0.0,0.2966337,2.57855,5.5718537,0.0,0.0
2018-05-26,House Majority PAC,Wisconsin,149,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-05-27,House Majority PAC,Alabama,150,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-27,House Majority PAC,Arizona,151,0.0,0.21236985000000005,0.9934,3.1364048500000004,0.0,0.0
2018-05-27,House Majority PAC,Arkansas,152,0.0,0.005702399999999999,0.4032,0.4607424,0.0,0.0
2018-05-27,House Majority PAC,California,153,0.0,1.6754562000000002,17.9904,34.89727619999999,0.0,0.0
2018-05-27,House Majority PAC,Colorado,154,0.0,0.4272543,5.9459,10.257284299999998,0.0,0.0
2018-05-27,House Majority PAC,Connecticut,155,0.0,0.5769719999999999,10.61745,16.439622,0.0,0.0
2018-05-27,House Majority PAC,Delaware,156,0.0,0.10875645,1.55875,2.65620145,0.0,0.0
2018-05-27,House Majority PAC,District of Columbia,157,0.0,0.05773680000000001,3.7876,4.3702168,0.0,0.0
2018-05-27,House Majority PAC,Florida,158,0.0,6.6235356,56.69535000000001,123.53284560000002,0.0,0.0
2018-05-27,House Majority PAC,Georgia,159,0.0,3.1895572500000005,10.6482,42.83373225,0.0,0.0
2018-05-27,House Majority PAC,Hawaii,160,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-05-27,House Majority PAC,Idaho,161,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-27,House Majority PAC,Illinois,162,0.0,0.31402305,3.7662,6.93497805,0.0,0.0
2018-05-27,House Majority PAC,Indiana,163,0.0,0.04191165,1.12795,1.5508766500000002,0.0,0.0
2018-05-27,House Majority PAC,Iowa,164,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-27,House Majority PAC,Kansas,165,0.0,0.5459305499999999,0.276,5.78493555,0.0,0.0
2018-05-27,House Majority PAC,Kentucky,166,0.0,0.72324945,0.5626,7.86084445,0.0,0.0
2018-05-27,House Majority PAC,Louisiana,167,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-27,House Majority PAC,Maine,168,0.0,0.3354367500000001,3.23775,6.622611749999999,0.0,0.0
2018-05-27,House Majority PAC,Maryland,169,0.0,1.5178976999999998,2.5109,17.827867700000006,0.0,0.0
2018-05-27,House Majority PAC,Massachusetts,170,0.0,1.7783617500000002,14.86025,32.80553675,0.0,0.0
2018-05-27,House Majority PAC,Michigan,171,0.0,1.46357145,6.2871,21.055866450000003,0.0,0.0
2018-05-27,House Majority PAC,Minnesota,172,0.0,0.31088475,3.7233,6.8604097500000005,0.0,0.0
2018-05-27,House Majority PAC,Mississippi,173,0.0,0.040976099999999994,2.3615,2.7749861,0.0,0.0
2018-05-27,House Majority PAC,Missouri,174,0.0,0.1054647,3.6168,4.6810347000000005,0.0,0.0
2018-05-27,House Majority PAC,Montana,175,0.0,0.5266899,2.11275,7.4275299000000015,0.0,0.0
2018-05-27,House Majority PAC,Nebraska,176,0.0,0.02042865,1.20595,1.41209365,0.0,0.0
2018-05-27,House Majority PAC,Nevada,177,0.0,0.1554696,1.7244,3.2932296,0.0,0.0
2018-05-27,House Majority PAC,New Hampshire,178,0.0,0.04676265,2.11275,2.5846276500000003,0.0,0.0
2018-05-27,House Majority PAC,New Jersey,179,0.0,1.1552557499999998,4.34155,15.99913075,0.0,0.0
2018-05-27,House Majority PAC,New York,180,0.0,524.8458764999999,4205.459800000001,9501.6318265,0.0,0.0
2018-05-27,House Majority PAC,North Carolina,181,0.0,4.5537426000000005,31.8019,77.75330260000001,0.0,0.0
2018-05-27,House Majority PAC,Ohio,182,0.0,0.9565677,9.02685,18.679487700000006,0.0,0.0
2018-05-27,House Majority PAC,Oregon,183,0.0,0.029313900000000007,1.6547,1.9505039,0.0,0.0
2018-05-27,House Majority PAC,Pennsylvania,184,0.0,3.4709301000000012,28.73545,63.760290100000006,0.0,0.0
2018-05-27,House Majority PAC,Rhode Island,185,0.0,0.7507368000000001,3.3187,10.894316800000002,0.0,0.0
2018-05-27,House Majority PAC,South Carolina,186,0.0,0.66877965,5.77615,12.52474465,0.0,0.0
2018-05-27,House Majority PAC,South Dakota,187,0.0,0.22867515,0.4032,2.71074015,0.0,0.0
2018-05-27,House Majority PAC,Tennessee,188,0.0,0.7889903999999998,8.2482,16.209830399999998,0.0,0.0
2018-05-27,House Majority PAC,Texas,189,0.0,2.84509665,14.89655,43.60616165,0.0,0.0
2018-05-27,House Majority PAC,Utah,190,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-27,House Majority PAC,Vermont,191,0.0,0.0500445,0.354,0.8589945,0.0,0.0
2018-05-27,House Majority PAC,Virginia,192,0.0,2.28472695,14.107500000000002,37.16247195,0.0,0.0
2018-05-27,House Majority PAC,Washington,193,0.0,0.4332537,2.39935,6.771273700000001,0.0,0.0
2018-05-27,House Majority PAC,"Washington, District of Columbia",194,0.0,0.05328675,2.69125,3.22896175,0.0,0.0
2018-05-27,House Majority PAC,West Virginia,195,0.0,0.27564570000000005,2.36655,5.1480657,0.0,0.0
2018-05-27,House Majority PAC,Wisconsin,196,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-05-28,House Majority PAC,Alabama,197,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Arizona,198,0.0,0.040035600000000005,0.9934,1.3973955999999998,0.0,0.0
2018-05-28,House Majority PAC,Arkansas,199,0.0,0.005702399999999999,0.4032,0.4607424,0.0,0.0
2018-05-28,House Majority PAC,California,200,0.0,0.21728520000000004,13.2294,15.4220052,0.0,0.0
2018-05-28,House Majority PAC,Colorado,201,0.0,0.08991180000000001,5.0484,5.955691799999999,0.0,0.0
2018-05-28,House Majority PAC,Connecticut,202,0.0,0.229185,7.6502,9.962885,0.0,0.0
2018-05-28,House Majority PAC,Delaware,203,0.0,0.0998712,1.11,2.1177912,0.0,0.0
2018-05-28,House Majority PAC,District of Columbia,204,0.0,0.05773680000000001,3.7876,4.3702168,0.0,0.0
2018-05-28,House Majority PAC,Florida,205,0.0,1.5821586,38.47960000000001,54.4450186,0.0,0.0
2018-05-28,House Majority PAC,Georgia,206,0.0,0.210474,6.5772,8.701074,0.0,0.0
2018-05-28,House Majority PAC,Hawaii,207,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-05-28,House Majority PAC,Idaho,208,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Illinois,209,0.0,0.0494208,2.4212,2.9199008,0.0,0.0
2018-05-28,House Majority PAC,Indiana,210,0.0,0.005702399999999999,0.4032,0.4607424,0.0,0.0
2018-05-28,House Majority PAC,Iowa,211,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Kansas,212,0.0,0.0376398,0.0,0.3798198,0.0,0.0
2018-05-28,House Majority PAC,Kentucky,213,0.0,0.0660132,0.2866,0.9527332000000001,0.0,0.0
2018-05-28,House Majority PAC,Louisiana,214,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Maine,215,0.0,0.16988399999999998,2.237,3.951284,0.0,0.0
2018-05-28,House Majority PAC,Maryland,216,0.0,0.0379962,1.6134,1.9968162,0.0,0.0
2018-05-28,House Majority PAC,Massachusetts,217,0.0,0.337392,11.892999999999999,15.297592000000002,0.0,0.0
2018-05-28,House Majority PAC,Michigan,218,0.0,0.1329372,3.7686,5.1100572,0.0,0.0
2018-05-28,House Majority PAC,Minnesota,219,0.0,0.055143,2.8258,3.3822430000000003,0.0,0.0
2018-05-28,House Majority PAC,Mississippi,220,0.0,0.0232056,1.464,1.6981656000000003,0.0,0.0
2018-05-28,House Majority PAC,Missouri,221,0.0,0.0346302,2.2718,2.6212502,0.0,0.0
2018-05-28,House Majority PAC,Montana,222,0.0,0.037877400000000006,1.664,2.0462173999999997,0.0,0.0
2018-05-28,House Majority PAC,Nebraska,223,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Nevada,224,0.0,0.12814560000000003,1.4484,2.7415056,0.0,0.0
2018-05-28,House Majority PAC,New Hampshire,225,0.0,0.037877400000000006,1.664,2.0462173999999997,0.0,0.0
2018-05-28,House Majority PAC,New Jersey,226,0.0,0.07227,2.2718,3.00107,0.0,0.0
2018-05-28,House Majority PAC,New York,227,0.0,112.00711499999998,2798.1608,3928.414415,0.0,0.0
2018-05-28,House Majority PAC,North Carolina,228,0.0,0.5785956000000001,21.9344,27.772955600000003,0.0,0.0
2018-05-28,House Majority PAC,Ohio,229,0.0,0.1831302,6.3356,8.183550199999999,0.0,0.0
2018-05-28,House Majority PAC,Oregon,230,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Pennsylvania,231,0.0,0.6112656000000001,19.6622,25.8304256,0.0,0.0
2018-05-28,House Majority PAC,Rhode Island,232,0.0,0.0494208,2.4212,2.9199008,0.0,0.0
2018-05-28,House Majority PAC,South Carolina,233,0.0,0.29834640000000007,3.6034,6.6139864,0.0,0.0
2018-05-28,House Majority PAC,South Dakota,234,0.0,0.005702399999999999,0.4032,0.4607424,0.0,0.0
2018-05-28,House Majority PAC,Tennessee,235,0.0,0.33794640000000004,4.7292,8.1393864,0.0,0.0
2018-05-28,House Majority PAC,Texas,236,0.0,0.4167504,10.6528,14.858190400000002,0.0,0.0
2018-05-28,House Majority PAC,Utah,237,0.0,0.0115434,0.7572,0.8736834000000001,0.0,0.0
2018-05-28,House Majority PAC,Vermont,238,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-05-28,House Majority PAC,Virginia,239,0.0,0.23965920000000002,8.346,10.764379200000002,0.0,0.0
2018-05-28,House Majority PAC,Washington,240,0.0,0.1863972,1.9506,3.8315172,0.0,0.0
2018-05-28,House Majority PAC,West Virginia,241,0.0,0.0287892,1.9178,2.2083092,0.0,0.0
2018-05-28,House Majority PAC,Wisconsin,242,0.0,0.005841000000000001,0.354,0.412941,0.0,0.0
2018-06-28,House Majority PAC,Arkansas,243,276.9230769230769,369.2,16923.076923076922,19999.96923076923,0.0,0.0
2018-06-28,House Majority PAC,California,244,518.5185185185185,592.5185185185185,31481.481481481478,37036.96296296296,0.0,0.0
2018-06-29,House Majority PAC,Arkansas,245,276.9230769230769,369.2,16923.076923076922,19999.96923076923,0.0,0.0
2018-06-29,House Majority PAC,California,246,518.5185185185185,790.5185185185185,31481.481481481478,39034.96296296296,0.0,0.0
2018-06-29,House Majority PAC,Illinois,247,564.5715384615385,639.7767579615386,35759.84807692308,41407.420873346164,0.0,0.0
2018-06-29,House Majority PAC,Indiana,248,0.243375,0.32763084375,15.243750000000002,17.78434959375,0.0,0.0
2018-06-29,House Majority PAC,Kansas,249,564.53219,684.0585388,30659.28116666667,37475.4081288,0.0,0.0
2018-06-29,House Majority PAC,Kentucky,250,461.66950841346153,538.4761940264424,32700.65144230769,38471.11897647837,0.0,0.0
