state,called,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,,2016 Margin,Total 2016 Votes,,,
South Carolina,R,"1,091,541","1,385,103","36,685",43.40%,55.10%,1.50%,-11.70%,2.60%,19.50%,SC,9,8,2,45,783,394,,-0.142659129,"2,103,027",,,
South Dakota,R,"150,471","261,043","11,095",35.60%,61.80%,2.60%,-26.20%,3.60%,14.20%,SD,3,4,4,46,430,168,,-0.297933222,"370,093",,,
Tennessee,R,"1,139,376","1,849,820","60,316",37.40%,60.70%,2.00%,-23.30%,2.70%,21.60%,TN,11,6,2,47,670,360,,-0.260057009,"2,508,027",,,
Utah,R,"554,028","848,863","60,970",37.80%,58.00%,4.20%,-20.10%,-2.10%,29.40%,UT,6,2,3,49,225,266,,-0.180793332,"1,131,430",,,
Vermont,D,"242,820","112,704","11,904",66.10%,30.70%,3.20%,35.40%,9.00%,16.60%,VT,3,10,6,50,873,134,,0.264083512,"315,067",,,
Virginia,D,"2,412,882","1,962,330","85,306",54.10%,44.00%,1.90%,10.10%,4.80%,12.00%,VA,13,8,3,51,809,299,,0.053211954,"3,982,752",,,
Washington,D,"2,356,584","1,572,345","131,539",58.00%,38.70%,3.20%,19.30%,3.60%,20.60%,WA,12,1,5,53,128,58,,0.157059999,"3,365,644",,,
West Virginia,R,"235,657","544,826","13,264",29.70%,68.60%,1.70%,-39.00%,3.10%,11.30%,WV,5,7,3,54,765,284,,-0.420726936,"713,051",,,
Wyoming,R,"73,491","193,559","9,715",26.60%,69.90%,3.50%,-43.40%,2.90%,8.20%,WY,3,3,4,56,306,187,,-0.462952757,"255,849",,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1,102,297","1,841,604","1,881,072",,,,,,,,,,,,,,,,,
