state,total_spend_trump
AK,64437.3601015
AL,390868.4974509999
AR,222170.85948599997
AZ,3626102.6774815
CA,1541353.057202
CO,406288.547461
CT,153766.6543155
DE,53605.8965425
FL,9692342.648758
GA,3565502.835863
HI,48469.193006999994
IA,1928393.7342454998
ID,132814.5862675
IL,595832.0807874999
IN,430445.2213075
KS,197714.45776999998
KY,334865.21972899995
LA,336447.43584199995
MA,336372.17076099996
MD,247671.41618749997
ME,661554.3972690001
MI,4753070.744787
MN,847427.170139
MO,408427.4102755
MS,204755.47910799997
MT,82280.244294
NC,4960568.368714
ND,54413.9764595
NE,510466.820421
NH,260387.6123015
NJ,434743.75120349997
NM,165572.7627035
NV,998814.7873305001
NY,899078.8450150001
OH,3544158.159243
OK,407268.9885734999
OR,229045.32561349997
PA,5959922.3522475
RI,48208.699671
SC,500895.08020449994
SD,65264.529864
TN,493438.7605319999
TX,2240234.019342
UT,150937.7098445
VA,648231.3044764999
VT,23360.124773
WA,385727.17743899993
WI,3769947.7765309997
WV,142449.1859185
WY,54298.410389000004
NA,41633.315315500004
