state,total_spend_slf
AK,24106.286262999998
AL,64.67147299999999
AR,38.9707105
AZ,1373.1728950000002
CA,463.84653449999996
CO,61662.3655515
CT,23.2487045
DE,9.4204955
FL,294.948779
GA,192441.5678865
HI,7.079370499999999
IA,193076.23994600002
ID,31.016892000000002
IL,105.47691499999999
IN,341768.6408085
KS,126099.490986
KY,1363.251613
LA,61.712929499999994
MA,46.455521
MD,36.970423000000004
ME,66447.935158
MI,150.22991199999998
MN,61.65052000000001
MO,533444.0108459999
MS,10037.2721645
MT,170441.398664
NC,411276.293536
ND,41378.282126
NE,29.8381765
NH,15.9504695
NJ,67.20864549999999
NM,25.486744499999997
NV,176668.059856
NY,138.41531349999997
OH,164.545045
OK,59.7728165
OR,38.220734500000006
PA,153.0008315
RI,7.068773499999999
SC,44953.2730645
SD,13.016693000000002
TN,416795.541592
TX,319.9869795
UT,45.1074345
VA,121.09939849999999
VT,5.642423
WA,69.99694899999999
WI,86.88891400000001
WV,372624.529332
WY,11.0095235
NA,3.9330095
