"name","state_code","contribution_date","sum"
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-02-14,100.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-02-22,2800.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-03-25,3750.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-03-27,750.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-03-30,375.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-04-02,25.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-04-04,1200.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-04-25,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-05-03,1200.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-05-13,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-05-15,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-06-02,750.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-06-23,787.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-06-25,2250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-06-28,1000.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-01,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-02,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-04,262.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-05,200.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-07,500.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-08,562.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-09,100.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-13,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-16,0.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-23,500.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-25,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-07-31,439.4
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-04,214.4
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-16,256.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-18,237.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-21,237.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-22,500.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-24,1250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-28,399.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-08-31,399.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-01,250.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-04,287.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-08,727.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-09,500.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-10,247.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-11,1035.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-13,275.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-14,322.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-17,10.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-19,282.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-20,595.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-21,-460.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-22,950.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-25,475.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-26,42.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-27,25.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-28,487.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-29,1651.72
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-09-30,344.22
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-10-01,-309.22
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-10-04,275.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-10-09,95.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-10-10,485.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AE,2020-10-12,150.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-02,366.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-03,238.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-05,35.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-06,225.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-07,307.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-08,2172.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-09,856.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-10,750.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-11,199.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-12,145.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-13,187.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-14,999.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-15,416.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-16,505.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-17,2481.2799999999997
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-18,201.55
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-19,477.1
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-20,81.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-21,450.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-22,137.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-23,1052.9499999999998
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-24,189.35
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-25,193.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-26,281.55
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-27,80.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-28,405.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-29,225.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-30,585.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-01-31,775.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-01,530.15
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-02,1168.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-03,638.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-04,175.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-05,248.00000000000003
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-06,515.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-09,157.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-10,206.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-11,263.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-12,635.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-13,-61.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-14,87.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-15,130.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-16,430.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-17,187.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-18,330.67
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-19,270.65
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-20,758.67
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-21,866.67
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-22,72.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-23,412.37
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-24,136.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-25,504.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-26,632.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-27,215.92000000000002
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-02-28,1411.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-01,311.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-02,128.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-03,291.22
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-04,25.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-05,300.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-06,112.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-07,52.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-08,104.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-09,185.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-10,106.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-11,132.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-12,396.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-13,255.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-14,178.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-15,704.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-16,332.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-17,47.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-18,519.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-19,1889.15
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-20,316.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-21,75.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-22,211.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-23,15.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-24,170.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-25,775.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-26,511.67
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-27,380.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-28,296.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-29,391.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-30,187.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-03-31,280.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-01,410.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-02,310.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-03,438.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-04,201.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-05,212.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-06,102.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-08,195.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-09,417.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-10,220.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-11,402.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-12,396.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-13,246.92000000000002
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-14,179.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-15,447.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-16,357.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-17,950.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-18,1037.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-19,228.15
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-20,744.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-21,164.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-22,584.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-23,903.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-24,414.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-25,687.75
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-26,137.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-27,737.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-28,378.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-29,404.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-04-30,771.25
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-05-01,331.5
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-05-02,160.0
"DONALD J. TRUMP FOR PRESIDENT, INC.",AK,2019-05-03,270.0
