"name","state_code","contribution_date","sum"
SMP,AE,2020-01-31,2500.0
SMP,AE,2020-04-25,1000.0
SMP,AE,2020-08-21,200.0
SMP,AK,2020-01-03,300.0
SMP,AK,2020-01-07,1000.0
SMP,AK,2020-01-14,250.0
SMP,AK,2020-02-25,500.0
SMP,AK,2020-03-26,25.0
SMP,AK,2020-04-17,250.0
SMP,AK,2020-04-24,1000.0
SMP,AK,2020-04-29,250.0
SMP,AK,2020-05-11,515.0
SMP,AK,2020-05-15,250.0
SMP,AK,2020-05-18,20.0
SMP,AK,2020-05-20,750.0
SMP,AK,2020-05-22,325.0
SMP,AK,2020-06-04,200.0
SMP,AK,2020-06-14,500.0
SMP,AK,2020-06-17,600.0
SMP,AK,2020-06-20,200.0
SMP,AK,2020-06-24,250.0
SMP,AK,2020-06-25,500.0
SMP,AK,2020-06-29,1250.0
SMP,AK,2020-07-13,250.0
SMP,AK,2020-07-20,250.0
SMP,AK,2020-07-21,200.0
SMP,AK,2020-07-24,200.0
SMP,AK,2020-07-30,100.0
SMP,AK,2020-08-06,1000.0
SMP,AK,2020-08-13,1200.0
SMP,AK,2020-08-15,100.0
SMP,AK,2020-08-16,50.0
SMP,AK,2020-08-17,100.0
SMP,AK,2020-08-20,250.0
SMP,AK,2020-08-24,300.0
SMP,AK,2020-08-25,2500.0
SMP,AK,2020-08-26,400.0
SMP,AK,2020-08-27,100.0
SMP,AK,2020-08-28,500.0
SMP,AL,2019-01-11,2000.0
SMP,AL,2019-01-14,38.0
SMP,AL,2019-02-21,500.0
SMP,AL,2019-03-13,258.0
SMP,AL,2019-03-18,250.0
SMP,AL,2019-04-11,38.0
SMP,AL,2019-04-15,100.0
SMP,AL,2019-05-02,400.0
SMP,AL,2019-05-14,375.0
SMP,AL,2019-05-17,38.0
SMP,AL,2019-05-24,500.0
SMP,AL,2019-06-06,100.0
SMP,AL,2019-06-20,57.0
SMP,AL,2019-06-21,375.0
SMP,AL,2020-01-02,200.0
SMP,AL,2020-01-14,1300.0
SMP,AL,2020-01-15,200.0
SMP,AL,2020-01-28,250.0
SMP,AL,2020-02-06,100.0
SMP,AL,2020-02-10,300.0
SMP,AL,2020-02-11,260.0
SMP,AL,2020-02-19,50.0
SMP,AL,2020-03-03,1000.0
SMP,AL,2020-03-10,975.0
SMP,AL,2020-03-11,100.0
SMP,AL,2020-03-12,200.0
SMP,AL,2020-03-31,1000.0
SMP,AL,2020-04-15,60.0
SMP,AL,2020-04-16,563.0
SMP,AL,2020-04-20,100.0
SMP,AL,2020-04-23,1000.0
SMP,AL,2020-04-26,50.0
SMP,AL,2020-05-06,1000.0
SMP,AL,2020-05-11,100.0
SMP,AL,2020-05-13,10.0
SMP,AL,2020-05-20,200.0
SMP,AL,2020-05-24,150.0
SMP,AL,2020-05-26,100.0
SMP,AL,2020-05-28,500.0
SMP,AL,2020-06-02,425.0
SMP,AL,2020-06-09,250.0
SMP,AL,2020-06-10,300.0
SMP,AL,2020-06-11,100.0
SMP,AL,2020-06-13,70.0
SMP,AL,2020-06-14,500.0
SMP,AL,2020-06-16,1100.0
SMP,AL,2020-06-17,100.0
SMP,AL,2020-06-20,300.0
SMP,AL,2020-06-21,100.0
SMP,AL,2020-06-22,300.0
SMP,AL,2020-06-23,100.0
SMP,AL,2020-06-25,200.0
SMP,AL,2020-06-26,50.0
SMP,AL,2020-06-27,100.0
SMP,AL,2020-06-30,2500.0
SMP,AL,2020-07-01,1100.0
SMP,AL,2020-07-02,450.0
SMP,AL,2020-07-06,300.0
SMP,AL,2020-07-08,100.0
SMP,AL,2020-07-09,60.0
SMP,AL,2020-07-10,1000.0
SMP,AL,2020-07-13,10.0
SMP,AL,2020-07-15,100.0
SMP,AL,2020-07-16,760.0
SMP,AL,2020-07-17,50.0
SMP,AL,2020-07-21,100.0
SMP,AL,2020-07-23,100.0
SMP,AL,2020-07-24,600.0
SMP,AL,2020-07-25,1000.0
SMP,AL,2020-07-26,50.0
SMP,AL,2020-07-28,12500.0
SMP,AL,2020-07-29,100.0
SMP,AL,2020-08-04,2538.0
SMP,AL,2020-08-07,300.0
SMP,AL,2020-08-10,300.0
SMP,AL,2020-08-11,20.2
SMP,AL,2020-08-13,560.0
SMP,AL,2020-08-14,200.0
SMP,AL,2020-08-17,200.0
SMP,AL,2020-08-18,663.0
SMP,AL,2020-08-20,450.0
SMP,AL,2020-08-21,1050.0
SMP,AL,2020-08-25,200.0
SMP,AL,2020-08-26,5150.0
SMP,AL,2020-08-28,1800.0
SMP,AL,2020-08-29,1000.0
SMP,AR,2019-02-06,300.0
SMP,AR,2019-04-22,500.0
SMP,AR,2019-05-15,250.0
