"name","state_code","contribution_date","sum"
BIDEN FOR PRESIDENT,AA,2019-09-24,100.0
BIDEN FOR PRESIDENT,AA,2019-10-03,59.0
BIDEN FOR PRESIDENT,AA,2019-10-24,100.0
BIDEN FOR PRESIDENT,AA,2019-11-24,100.0
BIDEN FOR PRESIDENT,AA,2019-12-24,100.0
BIDEN FOR PRESIDENT,AA,2020-01-22,250.0
BIDEN FOR PRESIDENT,AA,2020-01-24,100.0
BIDEN FOR PRESIDENT,AA,2020-01-28,200.0
BIDEN FOR PRESIDENT,AA,2020-02-01,50.0
BIDEN FOR PRESIDENT,AA,2020-02-29,1000.0
BIDEN FOR PRESIDENT,AA,2020-03-01,500.0
BIDEN FOR PRESIDENT,AA,2020-04-26,3300.0
BIDEN FOR PRESIDENT,AA,2020-05-01,250.0
BIDEN FOR PRESIDENT,AA,2020-05-21,500.0
BIDEN FOR PRESIDENT,AA,2020-06-03,300.0
BIDEN FOR PRESIDENT,AA,2020-06-07,1000.0
BIDEN FOR PRESIDENT,AA,2020-06-21,500.0
BIDEN FOR PRESIDENT,AA,2020-06-22,550.0
BIDEN FOR PRESIDENT,AA,2020-06-23,25.0
BIDEN FOR PRESIDENT,AA,2020-06-28,25.0
BIDEN FOR PRESIDENT,AA,2020-07-04,55.72
BIDEN FOR PRESIDENT,AA,2020-07-05,25.0
BIDEN FOR PRESIDENT,AA,2020-07-09,25.0
BIDEN FOR PRESIDENT,AA,2020-07-12,25.0
BIDEN FOR PRESIDENT,AA,2020-07-14,100.0
BIDEN FOR PRESIDENT,AA,2020-07-16,125.0
BIDEN FOR PRESIDENT,AA,2020-07-17,25.0
BIDEN FOR PRESIDENT,AA,2020-07-19,275.0
BIDEN FOR PRESIDENT,AA,2020-07-23,1025.0
BIDEN FOR PRESIDENT,AA,2020-07-25,250.0
BIDEN FOR PRESIDENT,AA,2020-07-26,25.0
BIDEN FOR PRESIDENT,AA,2020-07-29,500.0
BIDEN FOR PRESIDENT,AA,2020-07-30,75.0
BIDEN FOR PRESIDENT,AA,2020-08-02,25.0
BIDEN FOR PRESIDENT,AA,2020-08-04,25.0
BIDEN FOR PRESIDENT,AA,2020-08-06,75.0
BIDEN FOR PRESIDENT,AA,2020-08-09,25.0
BIDEN FOR PRESIDENT,AA,2020-08-11,125.0
BIDEN FOR PRESIDENT,AA,2020-08-12,112.00999999999999
BIDEN FOR PRESIDENT,AA,2020-08-13,25.0
BIDEN FOR PRESIDENT,AA,2020-08-15,1000.0
BIDEN FOR PRESIDENT,AA,2020-08-16,25.0
BIDEN FOR PRESIDENT,AA,2020-08-17,1225.0
BIDEN FOR PRESIDENT,AA,2020-08-18,25.0
BIDEN FOR PRESIDENT,AA,2020-08-20,767.55
BIDEN FOR PRESIDENT,AA,2020-08-21,125.0
BIDEN FOR PRESIDENT,AA,2020-08-22,500.0
BIDEN FOR PRESIDENT,AA,2020-08-25,525.0
BIDEN FOR PRESIDENT,AA,2020-08-28,200.0
BIDEN FOR PRESIDENT,AA,2020-08-31,100.0
BIDEN FOR PRESIDENT,AA,2020-09-01,125.0
BIDEN FOR PRESIDENT,AA,2020-09-03,2800.0
BIDEN FOR PRESIDENT,AA,2020-09-07,1250.0
BIDEN FOR PRESIDENT,AA,2020-09-08,25.0
BIDEN FOR PRESIDENT,AA,2020-09-10,510.0
BIDEN FOR PRESIDENT,AA,2020-09-14,40.0
BIDEN FOR PRESIDENT,AA,2020-09-15,50.0
BIDEN FOR PRESIDENT,AA,2020-09-17,25.0
BIDEN FOR PRESIDENT,AA,2020-09-18,2800.0
BIDEN FOR PRESIDENT,AA,2020-09-19,50.0
BIDEN FOR PRESIDENT,AA,2020-09-22,25.0
BIDEN FOR PRESIDENT,AA,2020-09-23,500.0
BIDEN FOR PRESIDENT,AA,2020-09-27,1000.0
BIDEN FOR PRESIDENT,AA,2020-09-29,375.0
BIDEN FOR PRESIDENT,AA,2020-10-03,50.0
BIDEN FOR PRESIDENT,AA,2020-10-04,100.0
BIDEN FOR PRESIDENT,AA,2020-10-05,25.0
BIDEN FOR PRESIDENT,AA,2020-10-06,25.0
BIDEN FOR PRESIDENT,AA,2020-10-07,300.0
BIDEN FOR PRESIDENT,AA,2020-10-10,100.0
BIDEN FOR PRESIDENT,AA,2020-10-12,25.0
BIDEN FOR PRESIDENT,AA,2020-10-13,100.0
BIDEN FOR PRESIDENT,AE,2019-02-09,25.0
