week,fb_spend,dr_fundraise
2020-04-06,227275.94939832983,2292731.7800000003
2020-04-13,242432.7586580082,3625071.6300000004
2020-04-20,469215.1633603298,4112696.57
2020-04-27,658596.7258245936,5990371.949999998
2020-05-04,832929.0493600331,3358327.43
2020-05-11,1390121.5852715431,2833994.5300000003
2020-05-18,530323.323480476,3636010.3
2020-05-25,951709.6753656019,6283734.909999999
2020-06-01,980618.2473291291,6292112.96
2020-06-08,865247.1067336368,11772632.239999996
2020-06-15,1961478.7674604442,7159454.68
2020-06-22,3123748.4942705613,14246362.209999997
2020-06-29,1458486.1997203769,10821079.479999999
2020-07-06,1818012.978647474,7109996.16
2020-07-13,424657.55584359117,12025260.53
2020-07-20,823618.8451549095,10809622.330000002
2020-07-27,492084.3613641994,14937527.07
2020-08-03,1599528.701720591,10001273.349999996
2020-08-10,619087.8672694167,13203776.969999995
2020-08-17,390782.81627850357,11790353.449999996
2020-08-24,1618620.8700460189,25410665.760000028
2020-08-31,867544.8376744156,14411526.609999998
2020-09-07,1074821.7066929198,13915468.950000001
2020-09-14,1618363.7822084865,15374521.200000001
2020-09-21,2107285.686451867,15686063.689999998
2020-09-28,3718935.661403565,16656980.74
2020-10-05,3355688.2681942354,16265605.8
2020-10-12,3220445.746920331,826409.71
